"","Country","Happiness score","Logged GDP per capita","Social support","Healthy life expectancy","Freedom to make life choices","Generosity","Perceptions of corruption","continent"
"112","Burkina Faso",4.768700123,7.46854496,0.712943614,53.88945389,0.665563583,-0.019080516,0.739795029,"Africa"
"113","Gambia",4.750599861,7.321814537,0.6931687,55.0120163,0.733163178,0.343198717,0.690717816,"Africa"
"114","Mali",4.729300022,7.629852295,0.731468976,51.72698212,0.71156615,-0.044366926,0.839328408,"Africa"
"115","Nigeria",4.724100113,8.57662487,0.73721689,49.86190796,0.759578407,0.033745807,0.861874342,"Africa"
"116","Armenia",4.676799774,9.100476265,0.757479429,66.75065613,0.712017834,-0.13877961,0.773544788,"Asia"
"117","Georgia",4.672599792,9.226100922,0.629033029,64.49520874,0.801641524,-0.22892037,0.665944695,"Asia"
"118","Iran",4.672399998,9.813719749,0.694689691,66.00614929,0.647873282,0.117891103,0.714635968,"Asia"
"119","Jordan",4.633399963,9.025999069,0.80216372,66.79975128,0.75104779,-0.162565202,0.700344324,"Asia"
"120","Mozambique",4.623600006,7.069345951,0.723874032,54.20582199,0.864451885,0.032375868,0.683019102,"Africa"
"121","Kenya",4.583000183,8.02977562,0.702652037,60.09693146,0.829747558,0.294681519,0.831499159,"Africa"
"122","Namibia",4.571100235,9.203141212,0.846880972,56.50148773,0.767520964,-0.18530646,0.851449788,"Africa"
"123","Ukraine",4.56069994,9.010690689,0.878879368,64.60678101,0.663081884,-0.030933706,0.920636714,"Europe"
"124","Liberia",4.557899952,7.054380417,0.70928055,56.09631348,0.735268712,0.04227322,0.856375933,"Africa"
"125","Palestinian Territories",4.552800179,8.389223099,0.825295925,62.25,0.645791829,-0.162079096,0.824199975,"Asia"
"126","Uganda",4.43200016,7.500389576,0.764994621,55.70820236,0.731713951,0.099487431,0.836737812,"Africa"
"127","Chad",4.422699928,7.467963696,0.632388055,48.22053909,0.587305248,0.017834719,0.802760839,"Africa"
"128","Tunisia",4.392199993,9.314972878,0.688718557,66.89785767,0.593361557,-0.216413811,0.867590249,"Africa"
"129","Mauritania",4.374599934,8.233919144,0.790819228,57.01017761,0.551522553,-0.106008142,0.746223509,"Africa"
"130","Sri Lanka",4.327000141,9.389969826,0.825374067,67.20006561,0.837633669,0.081129618,0.859001756,"Asia"
"131","Congo (Kinshasa)",4.31099987,6.694256306,0.672159016,52.90000153,0.700793564,0.083637655,0.809403598,"Africa"
"132","Swaziland",4.308100224,9.16267395,0.770290196,51.18823624,0.646822274,-0.19920142,0.708263338,"Africa"
"133","Myanmar",4.308000088,8.680481911,0.78440702,58.96171188,0.895075202,0.560663998,0.645124316,"Asia"
"134","Comoros",4.288599968,7.833630085,0.625662446,57.34901047,0.547612607,0.090008408,0.780622602,"Africa"
"135","Togo",4.187200069,7.357711315,0.551312625,54.71989822,0.649828613,0.002667875,0.757733464,"Africa"
"136","Ethiopia",4.186200142,7.509385586,0.743307352,58.63959122,0.740795195,0.043377332,0.753690004,"Africa"
"137","Madagascar",4.165599823,7.281685829,0.668195903,59.10542679,0.557574093,-0.011823639,0.817485631,"Africa"
"138","Egypt",4.151400089,9.316541672,0.735447824,61.78015137,0.708354175,-0.196878314,0.787726879,"Africa"
"139","Sierra Leone",3.926399946,7.26880312,0.636142015,50.86514282,0.715315044,0.088660747,0.861330688,"Africa"
"140","Burundi",3.775300026,6.492642403,0.490325719,53.40000153,0.626350224,-0.017551597,0.606934547,"Africa"
"141","Zambia",3.759399891,8.224720001,0.698824465,55.29937744,0.806500256,0.078037128,0.801289678,"Africa"
"142","Haiti",3.720799923,7.411329269,0.593247831,55.59862518,0.537825167,0.40053457,0.684767246,"Americas"
"143","Lesotho",3.652800083,7.960488319,0.780495703,48.00362396,0.738125861,-0.145732045,0.857392073,"Africa"
"144","India",3.573299885,8.849823952,0.592200935,60.21518707,0.881444871,0.057551607,0.772042692,"Asia"
"145","Malawi",3.538000107,7.062226295,0.544007301,57.59288788,0.803223193,0.021433279,0.731700778,"Africa"
"146","Yemen",3.527400017,7.759682655,0.817980587,56.72728348,0.599920273,-0.157735437,0.800287724,"Asia"
"147","Botswana",3.478899956,9.711203575,0.779121757,58.92445374,0.821328104,-0.250394493,0.777930915,"Africa"
"148","Tanzania",3.476200104,7.967665195,0.688933194,57.49607468,0.82153976,0.109668687,0.619799435,"Africa"
"149","Central African Republic",3.475899935,6.625160217,0.319459856,45.20000076,0.640880644,0.082410358,0.891806662,"Africa"
"150","Rwanda",3.312299967,7.600104332,0.54083544,61.09884644,0.900589406,0.055483952,0.183541179,"Africa"
"151","Zimbabwe",3.299200058,7.865711689,0.763092756,55.61725998,0.711457908,-0.072063953,0.81023699,"Africa"
"152","South Sudan",2.816600084,7.425359726,0.553707123,51,0.451313615,0.016518548,0.763417304,"Africa"
"153","Afghanistan",2.566900015,7.462860584,0.470366955,52.59000015,0.396573007,-0.0964294,0.933686554,"Asia"
