Rank,Country,Happiness score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,continent,year,P GDP per capita,P Social support,P Healthy life expectancy,P Freedom to make life choices,P Generosity,P Perceptions of corruption,SUMOFp
138,Ukraine,4.103,0.793,1.413,0.609,0.163,0.187,0.011,Europe,2018,0.19 ,0.34 ,0.15 ,0.04 ,0.05 ,0.00 ,0.77 
139,Togo,3.999,0.259,0.474,0.253,0.434,0.158,0.101,Africa,2018,0.06 ,0.12 ,0.06 ,0.11 ,0.04 ,0.03 ,0.42 
140,Guinea,3.964,0.344,0.792,0.211,0.394,0.185,0.094,Africa,2018,0.09 ,0.20 ,0.05 ,0.10 ,0.05 ,0.02 ,0.51 
141,Lesotho,3.808,0.472,1.215,0.079,0.423,0.116,0.112,Africa,2018,0.12 ,0.32 ,0.02 ,0.11 ,0.03 ,0.03 ,0.63 
142,Angola,3.795,0.73,1.125,0.269,0,0.079,0.061,Africa,2018,0.19 ,0.30 ,0.07 ,0.00 ,0.02 ,0.02 ,0.60 
143,Madagascar,3.774,0.262,0.908,0.402,0.221,0.155,0.049,Africa,2018,0.07 ,0.24 ,0.11 ,0.06 ,0.04 ,0.01 ,0.53 
144,Zimbabwe,3.692,0.357,1.094,0.248,0.406,0.132,0.099,Africa,2018,0.10 ,0.30 ,0.07 ,0.11 ,0.04 ,0.03 ,0.63 
145,Afghanistan,3.632,0.332,0.537,0.255,0.085,0.191,0.036,Asia,2018,0.09 ,0.15 ,0.07 ,0.02 ,0.05 ,0.01 ,0.40 
146,Botswana,3.59,1.017,1.174,0.417,0.557,0.042,0.092,Africa,2018,0.28 ,0.33 ,0.12 ,0.16 ,0.01 ,0.03 ,0.92 
147,Malawi,3.587,0.186,0.541,0.306,0.531,0.21,0.08,Africa,2018,0.05 ,0.15 ,0.09 ,0.15 ,0.06 ,0.02 ,0.52 
148,Haiti,3.582,0.315,0.714,0.289,0.025,0.392,0.104,Americas,2018,0.09 ,0.20 ,0.08 ,0.01 ,0.11 ,0.03 ,0.51 
149,Liberia,3.495,0.076,0.858,0.267,0.419,0.206,0.03,Africa,2018,0.02 ,0.25 ,0.08 ,0.12 ,0.06 ,0.01 ,0.53 
150,Syria,3.462,0.689,0.382,0.539,0.088,0.376,0.144,Asia,2018,0.20 ,0.11 ,0.16 ,0.03 ,0.11 ,0.04 ,0.64 
151,Rwanda,3.408,0.332,0.896,0.4,0.636,0.2,0.444,Africa,2018,0.10 ,0.26 ,0.12 ,0.19 ,0.06 ,0.13 ,0.85 
152,Yemen,3.355,0.442,1.073,0.343,0.244,0.083,0.064,Asia,2018,0.13 ,0.32 ,0.10 ,0.07 ,0.02 ,0.02 ,0.67 
153,Tanzania,3.303,0.455,0.991,0.381,0.481,0.27,0.097,Africa,2018,0.14 ,0.30 ,0.12 ,0.15 ,0.08 ,0.03 ,0.81 
154,South Sudan,3.254,0.337,0.608,0.177,0.112,0.224,0.106,Africa,2018,0.10 ,0.19 ,0.05 ,0.03 ,0.07 ,0.03 ,0.48 
155,Central African Republic,3.083,0.024,0,0.01,0.305,0.218,0.038,Africa,2018,0.01 ,0.00 ,0.00 ,0.10 ,0.07 ,0.01 ,0.19 
156,Burundi,2.905,0.091,0.627,0.145,0.065,0.149,0.076,Africa,2018,0.03 ,0.22 ,0.05 ,0.02 ,0.05 ,0.03 ,0.40 
1,Finland,7.769,1.34,1.587,0.986,0.596,0.153,0.393,Europe,2019,0.17 ,0.20 ,0.13 ,0.08 ,0.02 ,0.05 ,0.65 
2,Denmark,7.6,1.383,1.573,0.996,0.592,0.252,0.41,Europe,2019,0.18 ,0.21 ,0.13 ,0.08 ,0.03 ,0.05 ,0.69 
3,Norway,7.554,1.488,1.582,1.028,0.603,0.271,0.341,Europe,2019,0.20 ,0.21 ,0.14 ,0.08 ,0.04 ,0.05 ,0.70 
4,Iceland,7.494,1.38,1.624,1.026,0.591,0.354,0.118,Europe,2019,0.18 ,0.22 ,0.14 ,0.08 ,0.05 ,0.02 ,0.68 
5,Netherlands,7.488,1.396,1.522,0.999,0.557,0.322,0.298,Europe,2019,0.19 ,0.20 ,0.13 ,0.07 ,0.04 ,0.04 ,0.68 
6,Switzerland,7.48,1.452,1.526,1.052,0.572,0.263,0.343,Europe,2019,0.19 ,0.20 ,0.14 ,0.08 ,0.04 ,0.05 ,0.70 
7,Sweden,7.343,1.387,1.487,1.009,0.574,0.267,0.373,Europe,2019,0.19 ,0.20 ,0.14 ,0.08 ,0.04 ,0.05 ,0.69 
8,New Zealand,7.307,1.303,1.557,1.026,0.585,0.33,0.38,Oceania,2019,0.18 ,0.21 ,0.14 ,0.08 ,0.05 ,0.05 ,0.71 
9,Canada,7.278,1.365,1.505,1.039,0.584,0.285,0.308,Americas,2019,0.19 ,0.21 ,0.14 ,0.08 ,0.04 ,0.04 ,0.70 
10,Austria,7.246,1.376,1.475,1.016,0.532,0.244,0.226,Europe,2019,0.19 ,0.20 ,0.14 ,0.07 ,0.03 ,0.03 ,0.67 
11,Australia,7.228,1.372,1.548,1.036,0.557,0.332,0.29,Oceania,2019,0.19 ,0.21 ,0.14 ,0.08 ,0.05 ,0.04 ,0.71 
12,Costa Rica,7.167,1.034,1.441,0.963,0.558,0.144,0.093,Americas,2019,0.14 ,0.20 ,0.13 ,0.08 ,0.02 ,0.01 ,0.59 
13,Israel,7.139,1.276,1.455,1.029,0.371,0.261,0.082,Asia,2019,0.18 ,0.20 ,0.14 ,0.05 ,0.04 ,0.01 ,0.63 
14,Luxembourg,7.09,1.609,1.479,1.012,0.526,0.194,0.316,Europe,2019,0.23 ,0.21 ,0.14 ,0.07 ,0.03 ,0.04 ,0.72 
