Rank,Country,Happiness score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,continent,year,P GDP per capita,P Social support,P Healthy life expectancy,P Freedom to make life choices,P Generosity,P Perceptions of corruption,SUMOFp
1,Denmark,7.526,1.441784382,1.163744926,0.795040131,0.57941258,0.361709565,0.444532186,Europe,2016,0.19 ,0.15 ,0.11 ,0.08 ,0.05 ,0.06 ,0.64 
2,Switzerland,7.509,1.527334213,1.145236492,0.863029063,0.585571766,0.280825347,0.412032723,Europe,2016,0.20 ,0.15 ,0.11 ,0.08 ,0.04 ,0.05 ,0.64 
3,Iceland,7.501,1.426655412,1.183259368,0.867332816,0.566242337,0.476783901,0.149747416,Europe,2016,0.19 ,0.16 ,0.12 ,0.08 ,0.06 ,0.02 ,0.62 
4,Norway,7.498,1.577440143,1.126895666,0.795789361,0.596085906,0.378948092,0.357757896,Europe,2016,0.21 ,0.15 ,0.11 ,0.08 ,0.05 ,0.05 ,0.64 
5,Finland,7.413,1.40597868,1.134640336,0.81091392,0.571036816,0.254919082,0.410039783,Europe,2016,0.19 ,0.15 ,0.11 ,0.08 ,0.03 ,0.06 ,0.62 
6,Canada,7.404,1.440147758,1.096098185,0.827603579,0.57370019,0.44834137,0.313291997,Americas,2016,0.19 ,0.15 ,0.11 ,0.08 ,0.06 ,0.04 ,0.63 
7,Netherlands,7.339,1.46468389,1.02912271,0.812308967,0.552113593,0.474157631,0.299268067,Europe,2016,0.20 ,0.14 ,0.11 ,0.08 ,0.06 ,0.04 ,0.63 
8,New Zealand,7.334,1.360661983,1.172781706,0.830957234,0.581473291,0.494010955,0.419043779,Oceania,2016,0.19 ,0.16 ,0.11 ,0.08 ,0.07 ,0.06 ,0.66 
9,Australia,7.313,1.444426179,1.104755282,0.851203442,0.568365872,0.474068999,0.323306561,Oceania,2016,0.20 ,0.15 ,0.12 ,0.08 ,0.06 ,0.04 ,0.65 
10,Sweden,7.291,1.45181036,1.087640166,0.831212401,0.582184851,0.382537901,0.408665925,Europe,2016,0.20 ,0.15 ,0.11 ,0.08 ,0.05 ,0.06 ,0.65 
11,Israel,7.267,1.33766067,0.995372832,0.849171937,0.36432001,0.322876483,0.087278329,Asia,2016,0.18 ,0.14 ,0.12 ,0.05 ,0.04 ,0.01 ,0.54 
12,Austria,7.119,1.450382471,1.083832502,0.805645227,0.543551922,0.328647077,0.213483572,Europe,2016,0.20 ,0.15 ,0.11 ,0.08 ,0.05 ,0.03 ,0.62 
13,United States,7.104,1.507962227,1.047815084,0.778997898,0.481630385,0.410768449,0.148683056,Americas,2016,0.21 ,0.15 ,0.11 ,0.07 ,0.06 ,0.02 ,0.62 
14,Costa Rica,7.087,1.068794847,1.021524072,0.761464834,0.552250743,0.225525066,0.105465144,Americas,2016,0.15 ,0.14 ,0.11 ,0.08 ,0.03 ,0.01 ,0.53 
15,Puerto Rico,7.039,1.35943079,1.081130385,0.77758044,0.468232125,0.222022176,0.122752629,Americas,2016,0.19 ,0.15 ,0.11 ,0.07 ,0.03 ,0.02 ,0.57 
16,Germany,6.994,1.447866678,1.097738504,0.814869463,0.534662247,0.304522663,0.285507739,Europe,2016,0.21 ,0.16 ,0.12 ,0.08 ,0.04 ,0.04 ,0.64 
17,Brazil,6.952,1.08754158,1.039377689,0.61415261,0.404254824,0.157763064,0.141658947,Americas,2016,0.16 ,0.15 ,0.09 ,0.06 ,0.02 ,0.02 ,0.50 
18,Belgium,6.929,1.425390482,1.052487135,0.819593668,0.513537586,0.242399335,0.262475789,Europe,2016,0.21 ,0.15 ,0.12 ,0.07 ,0.03 ,0.04 ,0.62 
19,Ireland,6.907,1.483413577,1.161568046,0.814548731,0.540084302,0.449628145,0.29753685,Europe,2016,0.21 ,0.17 ,0.12 ,0.08 ,0.07 ,0.04 ,0.69 
20,Luxembourg,6.871,1.69752419,1.039993048,0.845419347,0.548702359,0.275711238,0.353293061,Europe,2016,0.25 ,0.15 ,0.12 ,0.08 ,0.04 ,0.05 ,0.69 
21,Mexico,6.778,1.115080833,0.714603782,0.711434186,0.377086431,0.117354617,0.183547229,Americas,2016,0.16 ,0.11 ,0.10 ,0.06 ,0.02 ,0.03 ,0.47 
22,Singapore,6.739,1.645546436,0.867575824,0.947188199,0.48769936,0.327062637,0.469869375,Asia,2016,0.24 ,0.13 ,0.14 ,0.07 ,0.05 ,0.07 ,0.70 
23,United Kingdom,6.725,1.402830243,1.086715817,0.809905171,0.500359237,0.501563191,0.273989618,Europe,2016,0.21 ,0.16 ,0.12 ,0.07 ,0.07 ,0.04 ,0.68 
24,Chile,6.705,1.216696262,0.905871034,0.818833172,0.377893388,0.315953463,0.114507757,Americas,2016,0.18 ,0.14 ,0.12 ,0.06 ,0.05 ,0.02 ,0.56 
25,Panama,6.701,1.183057308,0.989121318,0.708346546,0.489274472,0.241801292,0.084229752,Americas,2016,0.18 ,0.15 ,0.11 ,0.07 ,0.04 ,0.01 ,0.55 
26,Argentina,6.65,1.15136528,1.06612432,0.697112739,0.422835112,0.109889276,0.072960153,Americas,2016,0.17 ,0.16 ,0.10 ,0.06 ,0.02 ,0.01 ,0.53 
27,Czech Republic,6.596,1.309153438,1.007931709,0.763755083,0.41417706,0.099286601,0.03985557,Europe,2016,0.20 ,0.15 ,0.12 ,0.06 ,0.02 ,0.01 ,0.55 
28,United Arab Emirates,6.573,1.573521495,0.871136844,0.729932189,0.56214571,0.265909791,0.355612397,Asia,2016,0.24 ,0.13 ,0.11 ,0.09 ,0.04 ,0.05 ,0.66 
29,Uruguay,6.545,1.181572676,1.031425357,0.721826971,0.543876708,0.180556223,0.213936999,Americas,2016,0.18 ,0.16 ,0.11 ,0.08 ,0.03 ,0.03 ,0.59 
30,Malta,6.488,1.307815313,1.098792076,0.803154051,0.549941838,0.56236583,0.17554386,Europe,2016,0.20 ,0.17 ,0.12 ,0.08 ,0.09 ,0.03 ,0.69 
31,Colombia,6.481,1.030316114,1.021694183,0.596591532,0.447348237,0.156259283,0.053988829,Americas,2016,0.16 ,0.16 ,0.09 ,0.07 ,0.02 ,0.01 ,0.51 
32,France,6.478,1.394883513,1.005080104,0.837949932,0.465618432,0.121603429,0.178082541,Europe,2016,0.22 ,0.16 ,0.13 ,0.07 ,0.02 ,0.03 ,0.62 
33,Thailand,6.474,1.08929646,1.044767976,0.649153352,0.495529205,0.586960733,0.028332459,Asia,2016,0.17 ,0.16 ,0.10 ,0.08 ,0.09 ,0.00 ,0.60 
34,Saudi Arabia,6.379,1.489526391,0.848290741,0.592667282,0.379041046,0.154574409,0.300076246,Asia,2016,0.23 ,0.13 ,0.09 ,0.06 ,0.02 ,0.05 ,0.59 
35,Taiwan,6.379,1.397285581,0.926242232,0.795653343,0.323774934,0.254951417,0.066301078,Asia,2016,0.22 ,0.15 ,0.12 ,0.05 ,0.04 ,0.01 ,0.59 
36,Qatar,6.375,1.824265599,0.879637301,0.717229843,0.566785216,0.323877066,0.480493426,Asia,2016,0.29 ,0.14 ,0.11 ,0.09 ,0.05 ,0.08 ,0.75 
37,Spain,6.361,1.342530847,1.129446745,0.878959715,0.375447303,0.176649779,0.061372794,Europe,2016,0.21 ,0.18 ,0.14 ,0.06 ,0.03 ,0.01 ,0.62 
38,Algeria,6.355,1.052660227,0.83308512,0.618043005,0.210056841,0.070441589,0.161569893,Africa,2016,0.17 ,0.13 ,0.10 ,0.03 ,0.01 ,0.03 ,0.46 
39,Guatemala,6.324,0.834544599,0.871189952,0.540386319,0.503786147,0.288083464,0.087014526,Americas,2016,0.13 ,0.14 ,0.09 ,0.08 ,0.05 ,0.01 ,0.49 
40,Suriname,6.269,1.096858859,0.778662622,0.50933373,0.522341907,0.166648671,0.12692143,Americas,2016,0.17 ,0.12 ,0.08 ,0.08 ,0.03 ,0.02 ,0.51 
41,Kuwait,6.239,1.617141366,0.877582967,0.635688484,0.431660771,0.159652606,0.236691728,Asia,2016,0.26 ,0.14 ,0.10 ,0.07 ,0.03 ,0.04 ,0.63 
42,Bahrain,6.218,1.440244079,0.94396764,0.656957924,0.473753095,0.171470031,0.257721454,Asia,2016,0.23 ,0.15 ,0.11 ,0.08 ,0.03 ,0.04 ,0.63 
43,Trinidad and Tobago,6.168,1.325716496,0.985685587,0.526080966,0.484528571,0.319347799,0.012409157,Americas,2016,0.21 ,0.16 ,0.09 ,0.08 ,0.05 ,0.00 ,0.59 
