"","Country","Happiness_score","GDP_per_capita","Social_support","Healthy_life_expectancy","Freedom_to_make_life_choices","Generosity","Perceptions_of_corruption","continent","year"
"82","China","5.245","1.027797103","0.7938081029999999","0.735614955","0.44012358799999995","0.049588207","0.027451765","Asia","2016"
"78","China","5.273","1.081","1.161","0.741","0.473","0.028999999999999998","0.023","Asia","2017"
"85","China","5.246","0.9890000000000001","1.1420000000000001","0.799","0.597","0.028999999999999998","0.10300000000000001","Asia","2018"
"92","China","5.191","1.0290000000000001","1.125","0.893","0.521","0.057999999999999996","0.1","Asia","2019"
"30","Colombia","6.481","1.0303161140000001","1.021694183","0.596591532","0.44734823700000004","0.156259283","0.053988829","Americas","2016"
"35","Colombia","6.357","1.071","1.402","0.595","0.47700000000000004","0.149","0.047","Americas","2017"
"36","Colombia","6.26","0.96","1.439","0.635","0.531","0.099","0.039","Americas","2018"
"42","Colombia","6.125","0.985","1.41","0.841","0.47","0.099","0.034","Americas","2019"
"126","Congo (Brazzaville)","4.236000000000001","0.7710928920000001","0.477987349","0.282115191","0.37937673899999996","0.120770879","0.09752927","Africa","2016"
"123","Congo (Brazzaville)","4.291","0.809","0.8320000000000001","0.29","0.435","0.121","0.08","Africa","2017"
"113","Congo (Brazzaville)","4.559","0.682","0.8109999999999999","0.34299999999999997","0.514","0.091","0.077","Africa","2018"
"102","Congo (Brazzaville)","4.812","0.6729999999999999","0.799","0.508","0.37200000000000005","0.105","0.09300000000000001","Africa","2019"
"124","Congo (Kinshasa)","4.272","0.056606013","0.8067646620000001","0.188003927","0.15601705","0.254578084","0.060748998","Africa","2016"
"125","Congo (Kinshasa)","4.28","0.092","1.229","0.191","0.23600000000000002","0.24600000000000002","0.06","Africa","2017"
"131","Congo (Kinshasa)","4.245","0.069","1.136","0.204","0.312","0.19699999999999998","0.052000000000000005","Africa","2018"
"126","Congo (Kinshasa)","4.418","0.094","1.125","0.35700000000000004","0.26899999999999996","0.212","0.053","Africa","2019"
"13","Costa Rica","7.087000000000001","1.068794847","1.021524072","0.7614648340000001","0.552250743","0.22552506600000002","0.10546514400000001","Americas","2016"
"11","Costa Rica","7.079","1.11","1.416","0.76","0.58","0.215","0.1","Americas","2017"
"12","Costa Rica","7.072","1.01","1.459","0.8170000000000001","0.632","0.14300000000000002","0.10099999999999999","Americas","2018"
"11","Costa Rica","7.167000000000001","1.034","1.4409999999999998","0.963","0.5579999999999999","0.14400000000000002","0.09300000000000001","Americas","2019"
"73","Croatia","5.4879999999999995","1.1864858870000001","0.608087182","0.705240667","0.23907063899999997","0.184344918","0.040024605","Europe","2016"
"76","Croatia","5.292999999999999","1.2229999999999999","0.968","0.701","0.256","0.248","0.043","Europe","2017"
"81","Croatia","5.321000000000001","1.115","1.161","0.737","0.38","0.12","0.039","Europe","2018"
"74","Croatia","5.432","1.155","1.266","0.914","0.29600000000000004","0.11900000000000001","0.022000000000000002","Europe","2019"
"68","Cyprus","5.546","1.318565488","0.706973851","0.8488041159999999","0.295066029","0.279059798","0.052277435","Asia","2016"
"64","Cyprus","5.621","1.3559999999999999","1.131","0.845","0.355","0.271","0.040999999999999995","Asia","2017"
"60","Cyprus","5.7620000000000005","1.229","1.1909999999999998","0.909","0.423","0.20199999999999999","0.035","Asia","2018"
"48","Cyprus","6.046","1.263","1.2229999999999999","1.042","0.406","0.19","0.040999999999999995","Asia","2019"
"26","Czech Republic","6.596","1.309153438","1.007931709","0.763755083","0.41417706","0.099286601","0.03985557","Europe","2016"
"22","Czech Republic","6.609","1.3530000000000002","1.4340000000000002","0.754","0.491","0.08800000000000001","0.037000000000000005","Europe","2017"
"20","Czech Republic","6.711","1.2329999999999999","1.489","0.8540000000000001","0.5429999999999999","0.064","0.034","Europe","2018"
"19","Czech Republic","6.852","1.2690000000000001","1.4869999999999999","0.92","0.457","0.046","0.036000000000000004","Europe","2019"
"0","Denmark","7.526","1.4417843819999998","1.163744926","0.7950401309999999","0.57941258","0.361709565","0.444532186","Europe","2016"
"1","Denmark","7.522","1.482","1.551","0.7929999999999999","0.626","0.355","0.401","Europe","2017"
"2","Denmark","7.555","1.351","1.59","0.868","0.6829999999999999","0.284","0.408","Europe","2018"
"1","Denmark","7.6","1.383","1.5730000000000002","0.996","0.5920000000000001","0.252","0.41","Europe","2019"
"88","Dominican Republic","5.155","1.027870893","0.994959295","0.576689005","0.5225855110000001","0.212857142","0.12371701","Americas","2016"
"85","Dominican Republic","5.23","1.079","1.402","0.575","0.5529999999999999","0.187","0.114","Americas","2017"
"82","Dominican Republic","5.3020000000000005","0.982","1.4409999999999998","0.614","0.578","0.12","0.106","Americas","2018"
"76","Dominican Republic","5.425","1.015","1.401","0.779","0.49700000000000005","0.113","0.10099999999999999","Americas","2019"
"50","Ecuador","5.976","0.973064899","0.8597406740000001","0.686129689","0.40269997700000004","0.10073605199999999","0.18037167199999998","Americas","2016"
"43","Ecuador","6.007999999999999","1.001","1.286","0.6859999999999999","0.455","0.15","0.14","Americas","2017"
"47","Ecuador","5.973","0.889","1.33","0.736","0.556","0.114","0.12","Americas","2018"
"49","Ecuador","6.028","0.912","1.3119999999999998","0.868","0.498","0.126","0.087","Americas","2019"
"119","Egypt","4.362","0.9539512990000001","0.498131216","0.521161914","0.188465044","0.12706089","0.103929445","Africa","2016"
"103","Egypt","4.735","0.99","0.997","0.52","0.282","0.129","0.114","Africa","2017"
